ctag	ch	ch_female
CMATCHTEXT_OUTOFPOSITION_INGOAL7	<col_a>$attackingteamname期待再次测试$playername |他们向前推进. . .	<col_a>$attackingteamname期待再次测试$playername |他们向前推进. . .
CMATCHTEXT_OUTOFPOSITION_INGOAL8	<col_d>$playername显然是薄弱的环节| <col_a>$attackingteamname正在四处拍摄	<col_d>$playername显然是薄弱的环节| <col_a>$attackingteamname正在四处拍摄
CMATCHTEXT_OUTOFPOSITION_INGOAL9	<col_d>$playername的进球看上去很笨拙| <col_a>$attackingteamname继续测试他. . .	<col_d>$playername的进球看上去很笨拙| <col_a>$attackingteamname继续测试他. . .
CMATCHTEXT_OUTOFPOSITION1	<col_d>$playername已被发现拥有. . .	<col_d>$playername已被发现拥有. . .
CMATCHTEXT_OUTOFPOSITION2	<col_d>$playername不在位置| <col_a>$attackingteamname有机会突破. . .	<col_d>$playername不在位置| <col_a>$attackingteamname有机会突破. . .
CMATCHTEXT_OUTOFPOSITION3	<col_d>$playername . . .的定位不佳	<col_d>$playername . . .的定位不佳
CMATCHTEXT_OUTOFPOSITION4	<col_d>$playername超出了他的视野| <col_a>这里有$attackingteamname . . .	<col_d>$playername超出了他的视野| <col_a>这里有$attackingteamname . . .
CMATCHTEXT_OUTOFPOSITION5	<col_a>$attackingteamname遇到$playername . . .的错误	<col_a>$attackingteamname遇到$playername . . .的错误
CMATCHTEXT_PENALTY1	<!crowdcheer><!whistledelayed>$attackingteamname的罚球!	<!crowdcheer><!whistledelayed>$attackingteamname的罚球!
CMATCHTEXT_PENALTY2	<!crowdcheer><!whistledelayed>$attackingteamname受到罚球!	<!crowdcheer><!whistledelayed>$attackingteamname受到罚球!
CMATCHTEXT_PENALTY3	<!crowdcheer><!whistledelayed>$attackingteamname的罚球!	<!crowdcheer><!whistledelayed>$attackingteamname的罚球!
CMATCHTEXT_PENALTYGOAL1	<!crowdgoal>进球了!奇妙的点球!	<!crowdgoal>进球了!奇妙的点球!
CMATCHTEXT_PENALTYGOAL2	<!crowdgoal>球进了！!战栗	<!crowdgoal>球进了！!战栗
CMATCHTEXT_PENALTYGOAL3	<!crowdgoal>球进了！!门将无法阻止它!	<!crowdgoal>球进了！!门将无法阻止它!
CMATCHTEXT_PENALTYGOAL4	<!crowdgoal>球进了！!直下中间	<!crowdgoal>球进了！!直下中间
CMATCHTEXT_PENALTYGOAL5	<!crowdgoal>球进了！!不可阻挡的点球!	<!crowdgoal>球进了！!不可阻挡的点球!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL1	<!crowdgoal>球进了！!他将其收起!	<!crowdgoal>球进了！!他将其收起!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL2	<!crowdgoal>球进了！!他得分!	<!crowdgoal>球进了！!他得分!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL3	<!crowdgoal>球进了！!他没有犯错!	<!crowdgoal>球进了！!他没有犯错!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL4	<!crowdgoal>球进了！!钻进网!	<!crowdgoal>球进了！!钻进网!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL5	<!crowdgoal>球进了！!很好地收起球!	<!crowdgoal>球进了！!很好地收起球!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL6	<!crowdgoal>球进了！!他将其开火!	<!crowdgoal>球进了！!他将其开火!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL7	<!crowdgoal>球进了！!守护者没有机会!	<!crowdgoal>球进了！!守护者没有机会!
CMATCHTEXT_PENALTYMISS_BALLSTOP1	<!crowdoh>失误!他没有以足够的力量踢过球!	<!crowdoh>失误!他没有以足够的力量踢过球!
CMATCHTEXT_PENALTYMISS_BALLSTOP2	<!crowdoh>失误!他弄得一团糟!	<!crowdoh>失误!他弄得一团糟!
CMATCHTEXT_PENALTYMISS_BALLSTOP3	<!crowdoh>失误!神经变得更好!	<!crowdoh>失误!神经变得更好!
CMATCHTEXT_PENALTYMISS_BALLSTOP4	<!crowdoh>未命中!那是很糟糕的点球!	<!crowdoh>未命中!那是很糟糕的点球!
CMATCHTEXT_PENALTYMISS_KEEPER1	<!parry><!crowdoh>已保存!管理员猜对了!	<!parry><!crowdoh>已保存!管理员猜对了!
CMATCHTEXT_PENALTYMISS_KEEPER2	<!parry><!crowdoh>守门员的一次奇妙守门!	<!parry><!crowdoh>守门员的一次奇妙守门!
CMATCHTEXT_PENALTYMISS_KEEPER3	<!parry><!crowdoh>被管理员保存!	<!parry><!crowdoh>被管理员保存!
CMATCHTEXT_PENALTYMISS_KEEPER4	<!parry><!crowdoh>被守门员赶走!	<!parry><!crowdoh>被守门员赶走!
CMATCHTEXT_PENALTYMISS_KEEPER5	<!parry><!crowdoh>管理员将其保存!	<!parry><!crowdoh>管理员将其保存!
CMATCHTEXT_PENALTYMISS_KEEPER6	<!parry><!crowdoh>已保存!守门员走对了路!	<!parry><!crowdoh>已保存!守门员走对了路!
CMATCHTEXT_PENALTYMISS_KEEPER7	<!parry><!crowdoh>被管理员保存!	<!parry><!crowdoh>被管理员保存!
CMATCHTEXT_PENALTYMISS1	<!crowdoh>失误!横扫门框!	<!crowdoh>失误!横扫门框!
CMATCHTEXT_PENALTYMISS2	<!crowdoh>失误!他踢偏了!	<!crowdoh>失误!他踢偏了!
CMATCHTEXT_PENALTYMISS3	<!parry><!crowdoh>已保存!管理员猜对了!	<!parry><!crowdoh>已保存!管理员猜对了!
CMATCHTEXT_PENALTYMISS4	<!parry><!crowdoh>已保存!从守护者那里获得的奇妙守护	<!parry><!crowdoh>已保存!从守护者那里获得的奇妙守护
CMATCHTEXT_PENALTYMISS5	<!parry><!crowdoh>已保存!管理员将其推开!	<!parry><!crowdoh>已保存!管理员将其推开!
CMATCHTEXT_PENALTYSTEPUP_STAY1	$attackingteamname必须得分才能留在	$attackingteamname必须得分才能留在
CMATCHTEXT_PENALTYSTEPUP_WIN1	如果$attackingteamname得分了，他们就赢了	如果$attackingteamname得分了，他们就赢了
CMATCHTEXT_PENALTYSTEPUP1	$attackingteamname点球	$attackingteamname点球
CMATCHTEXT_PENRESULT1	<!crowdgoal>$teamname赢得点球大战!	<!crowdgoal>$teamname赢得点球大战!
CMATCHTEXT_PENRESULT2	<!crowdgoal>$teamname已经做到了! |他们赢得了点球大战!	<!crowdgoal>$teamname已经做到了! |他们赢得了点球大战!
CMATCHTEXT_PLAYERDISLIKE1	<assistant><DISLIKE><col_d>这是$playername和$playername 2之间的误解	<assistant><DISLIKE><col_d>这是$playername和$playername 2之间的误解
CMATCHTEXT_PLAYERDISLIKE2	<assistant><DISLIKE><col_d>$playername本应将球打向$playername 2，但将球送出	<assistant><DISLIKE><col_d>$playername本应将球打向$playername 2，但将球送出
CMATCHTEXT_PLAYERDISLIKE3	<assistant><DISLIKE><col_d>$playername无法预料到$playername 2的通过	<assistant><DISLIKE><col_d>$playername无法预料到$playername 2的通过
CMATCHTEXT_PLAYERDISLIKE4	<assistant><DISLIKE><col_d>$playername和$playername 2的波长不同|他们将球传给了对方. . .	<assistant><DISLIKE><col_d>$playername和$playername 2的波长不同|他们将球传给了对方. . .
CMATCHTEXT_PLAYERDISLIKE5	<assistant><DISLIKE><col_d>$playername 2没料到$playername的传球	<assistant><DISLIKE><col_d>$playername 2没料到$playername的传球
CMATCHTEXT_PLAYERDISLIKE6	<assistant><DISLIKE><col_d>$playername 2没有从$playername读取通行证	<assistant><DISLIKE><col_d>$playername 2没有从$playername读取通行证
CMATCHTEXT_PLAYERDISLIKE7	<assistant><DISLIKE><col_d>$playername 2和$playername之间的误解将球赠予了$attackingteamname	<assistant><DISLIKE><col_d>$playername 2和$playername之间的误解将球赠予了$attackingteamname
CMATCHTEXT_PLAYERDISLIKE8	<assistant><DISLIKE><col_d>$playername和$playername 2之间的沟通不畅|他们直接将其传达给反对派. . .	<assistant><DISLIKE><col_d>$playername和$playername 2之间的沟通不畅|他们直接将其传达给反对派. . .
CMATCHTEXT_PLAYERTIRED1	<col_d><TIRED>$playername被殴打	<col_d><TIRED>$playername被殴打
CMATCHTEXT_PLAYERTIRED10	<col_d><TIRED>$playername跟不上比赛	<col_d><TIRED>$playername跟不上比赛
CMATCHTEXT_PLAYERTIRED11	<col_d><TIRED>$playername跟不上他的男人	<col_d><TIRED>$playername跟不上他的男人
CMATCHTEXT_PLAYERTIRED12	<col_d><TIRED>$playername让比赛绕过他|他的腿走了	<col_d><TIRED>$playername让比赛绕过他|他的腿走了
CMATCHTEXT_PLAYERTIRED13	<col_d><TIRED>$playername无法追球	<col_d><TIRED>$playername无法追球
CMATCHTEXT_PLAYERTIRED14	<col_d><TIRED>$playername无法追赶他的对手	<col_d><TIRED>$playername无法追赶他的对手
CMATCHTEXT_PLAYERTIRED15	<col_d><TIRED>$playername看起来很累|他把球给了	<col_d><TIRED>$playername看起来很累|他把球给了
CMATCHTEXT_PLAYERTIRED16	<col_d><TIRED>这是$playername的一个累赘	<col_d><TIRED>这是$playername的一个累赘
CMATCHTEXT_PLAYERTIRED17	<col_d><TIRED>看上去疲倦的$playername肌肉发达	<col_d><TIRED>看上去疲倦的$playername肌肉发达
CMATCHTEXT_PLAYERTIRED18	<col_d><TIRED>$playername让他的男人摆脱他	<col_d><TIRED>$playername让他的男人摆脱他
CMATCHTEXT_PLAYERTIRED19	<col_a><TIRED>$attackingteamname从$playername接球	<col_a><TIRED>$attackingteamname从$playername接球
CMATCHTEXT_PLAYERTIRED2	<col_d><TIRED>$playername脱颖而出	<col_d><TIRED>$playername脱颖而出
CMATCHTEXT_PLAYERTIRED20	<col_d>$playername努力跟上	<col_d>$playername努力跟上
CMATCHTEXT_PLAYERTIRED3	<col_d><TIRED>$playername无法及时到达终点	<col_d><TIRED>$playername无法及时到达终点
CMATCHTEXT_PLAYERTIRED4	<col_d><TIRED>$playername看上去很疲倦	<col_d><TIRED>$playername看上去很疲倦
CMATCHTEXT_PLAYERTIRED5	<col_d><TIRED>这是一个累的错误$playername	<col_d><TIRED>这是一个累的错误$playername
CMATCHTEXT_PLAYERTIRED6	<col_d><TIRED>$playername追球失败|他看上去很疲倦	<col_d><TIRED>$playername追球失败|他看上去很疲倦
CMATCHTEXT_PLAYERTIRED7	<col_d><TIRED>$playername太容易捆绑在一起	<col_d><TIRED>$playername太容易捆绑在一起
CMATCHTEXT_PLAYERTIRED8	<col_d><TIRED>$playername面临挑战	<col_d><TIRED>$playername面临挑战
CMATCHTEXT_PLAYERTIRED9	<col_a><TIRED>$attackingteamname消除了疲劳$playername	<col_a><TIRED>$attackingteamname消除了疲劳$playername
CMATCHTEXT_PLAYERUNHAPPY1	<assistant><col_d><UNHAPPY>$playername今天看起来很不正常	<assistant><col_d><UNHAPPY>$playername今天看起来很不正常
CMATCHTEXT_PLAYERUNHAPPY10	<assistant><col_a><UNHAPPY>$attackingteamname拦截通过$playername的传球	<assistant><col_a><UNHAPPY>$attackingteamname拦截通过$playername的传球
CMATCHTEXT_PLAYERUNHAPPY11	<assistant><col_d><UNHAPPY>$playername被剥夺	<assistant><col_d><UNHAPPY>$playername被剥夺
CMATCHTEXT_PLAYERUNHAPPY12	<assistant><col_a><UNHAPPY>$attackingteamname轻松从$playername接球	<assistant><col_a><UNHAPPY>$attackingteamname轻松从$playername接球
CMATCHTEXT_PLAYERUNHAPPY13	<assistant><col_d><UNHAPPY>$playername拒绝追捕对手	<assistant><col_d><UNHAPPY>$playername拒绝追捕对手
CMATCHTEXT_PLAYERUNHAPPY14	<assistant><col_a><UNHAPPY>$attackingteamname从$playername抢断	<assistant><col_a><UNHAPPY>$attackingteamname从$playername抢断
CMATCHTEXT_PLAYERUNHAPPY15	<assistant><col_a><UNHAPPY>$attackingteamname受到攻击| <col_d>$playername太容易放弃了球	<assistant><col_a><UNHAPPY>$attackingteamname受到攻击| <col_d>$playername太容易放弃了球
CMATCHTEXT_PLAYERUNHAPPY2	<assistant><col_d><UNHAPPY>$playername传球	<assistant><col_d><UNHAPPY>$playername传球
CMATCHTEXT_PLAYERUNHAPPY3	<assistant><col_d><UNHAPPY>$playername无法追踪他的男人	<assistant><col_d><UNHAPPY>$playername无法追踪他的男人
CMATCHTEXT_PLAYERUNHAPPY4	<assistant><col_d><UNHAPPY>$playername不适用于团队	<assistant><col_d><UNHAPPY>$playername不适用于团队
CMATCHTEXT_PLAYERUNHAPPY5	<assistant><col_d><UNHAPPY>$playername让比赛绕过他	<assistant><col_d><UNHAPPY>$playername让比赛绕过他
CMATCHTEXT_PLAYERUNHAPPY6	<assistant><col_d><UNHAPPY>$playername今天步调不快	<assistant><col_d><UNHAPPY>$playername今天步调不快
CMATCHTEXT_PLAYERUNHAPPY7	<assistant><col_d><UNHAPPY>$playername无法控制球	<assistant><col_d><UNHAPPY>$playername无法控制球
CMATCHTEXT_PLAYERUNHAPPY8	<assistant><col_d><UNHAPPY>这是来自$playername的糟糕传球	<assistant><col_d><UNHAPPY>这是来自$playername的糟糕传球
CMATCHTEXT_PLAYERUNHAPPY9	<assistant><col_d><UNHAPPY>$playername看起来不感兴趣	<assistant><col_d><UNHAPPY>$playername看起来不感兴趣
CMATCHTEXT_SAVE_AGILITY1	<col_d><!parry><!crowdoh><AGI>但这是$defendingkeepername节省下来的假动作	<col_d><!parry><!crowdoh><AGI>但这是$defendingkeepername节省下来的假动作
CMATCHTEXT_SAVE_AGILITY2	<col_d><!parry><!crowdoh><AGI>但是它被$defendingkeepername推开了	<col_d><!parry><!crowdoh><AGI>但是它被$defendingkeepername推开了
CMATCHTEXT_SAVE_AGILITY3	<col_d><!parry><!crowdoh><AGI>但是它被$defendingkeepername屏蔽了	<col_d><!parry><!crowdoh><AGI>但是它被$defendingkeepername屏蔽了
CMATCHTEXT_SAVE_AGILITY4	<col_d><!parry><!crowdoh><AGI>但是$defendingkeepername向左俯冲并将其掌控	<col_d><!parry><!crowdoh><AGI>但是$defendingkeepername向左俯冲并将其掌控
CMATCHTEXT_SAVE_AGILITY5	<col_d><!parry><!crowdoh><AGI>但是$defendingkeepername向右跳然后将其推开	<col_d><!parry><!crowdoh><AGI>但是$defendingkeepername向右跳然后将其推开
CMATCHTEXT_SAVE_AGILITY6	<col_d><!parry><!crowdoh><AGI>但是$defendingkeepername显示了他的敏捷性，将其掌控	<col_d><!parry><!crowdoh><AGI>但是$defendingkeepername显示了他的敏捷性，将其掌控
CMATCHTEXT_SAVE_AGILITY7	<col_d><!crowdoh><AGI>但是$defendingkeepername扑过了他的球门并得到球	<col_d><!crowdoh><AGI>但是$defendingkeepername扑过了他的球门并得到球
CMATCHTEXT_SAVE_AGILITY8	<col_d><!crowdoh><AGI>但是$defendingkeepername做出了一次跳水扑救	<col_d><!crowdoh><AGI>但是$defendingkeepername做出了一次跳水扑救
CMATCHTEXT_SAVE_HANDLING1	<col_d><!crowdoh><HND>但是$defendingkeepername会使它窒息	<col_d><!crowdoh><HND>但是$defendingkeepername会使它窒息
CMATCHTEXT_SAVE_HANDLING2	<col_d><!crowdoh><HND>但是$defendingkeepername捕获了它	<col_d><!crowdoh><HND>但是$defendingkeepername捕获了它
CMATCHTEXT_SAVE_HANDLING3	<col_d><!crowdoh><HND>由$defendingkeepername接到了球	<col_d><!crowdoh><HND>由$defendingkeepername接到了球
CMATCHTEXT_SAVE_HANDLING4	<col_d><!crowdoh><HND>但是$defendingkeepername保持良好	<col_d><!crowdoh><HND>但是$defendingkeepername保持良好
CMATCHTEXT_SAVE_HANDLING5	<col_d><!crowdoh><HND>哦! $defendingkeepername大大节省了	<col_d><!crowdoh><HND>哦! $defendingkeepername大大节省了
CMATCHTEXT_SAVE_HANDLING6	<col_d><!crowdoh><HND>但是$defendingkeepername在那里显示安全的手牌	<col_d><!crowdoh><HND>但是$defendingkeepername在那里显示安全的手牌
CMATCHTEXT_SAVE_HANDLING7	<col_d><!crowdoh><HND>但$defendingkeepername却双手碰到了球	<col_d><!crowdoh><HND>但$defendingkeepername却双手碰到了球
CMATCHTEXT_SAVE_PACE1	<col_d><!crowdoh><PAC>但是$defendingkeepername迅速赶出拦截	<col_d><!crowdoh><PAC>但是$defendingkeepername迅速赶出拦截
CMATCHTEXT_SAVE_PACE2	<col_d><!crowdoh><PAC>但是$defendingkeepername很快就离开了比赛并得到球	<col_d><!crowdoh><PAC>但是$defendingkeepername很快就离开了比赛并得到球
CMATCHTEXT_SAVE_PACE3	<col_d><!crowdoh><PAC>但是$defendingkeepername首先到达那里	<col_d><!crowdoh><PAC>但是$defendingkeepername首先到达那里
CMATCHTEXT_SAVE_PACE4	<col_d><!crowdoh><PAC>但是守护者$defendingkeepername快速关闭了角度	<col_d><!crowdoh><PAC>但是守护者$defendingkeepername快速关闭了角度
CMATCHTEXT_SAVE_PACE5	<col_d><!crowdoh><PAC>但是$defendingkeepername很快就下线了，这使球更窒息	<col_d><!crowdoh><PAC>但是$defendingkeepername很快就下线了，这使球更窒息
CMATCHTEXT_SAVE_REFLEXES1	<col_d><!crowdoh><RFL>但这与$defendingkeepername相比节省了很多	<col_d><!crowdoh><RFL>但这与$defendingkeepername相比节省了很多
CMATCHTEXT_SAVE_REFLEXES2	<col_d><!crowdoh><RFL>$defendingkeepername保存的良好反应	<col_d><!crowdoh><RFL>$defendingkeepername保存的良好反应
CMATCHTEXT_SAVE_REFLEXES3	<col_d><!crowdoh><RFL>但是它被$defendingkeepername屏蔽了	<col_d><!crowdoh><RFL>但是它被$defendingkeepername屏蔽了
CMATCHTEXT_SAVE_REFLEXES4	<col_d><!crowdoh><RFL>哦! $defendingkeepername保存了一个不错的反应	<col_d><!crowdoh><RFL>哦! $defendingkeepername保存了一个不错的反应
CMATCHTEXT_SAVE_REFLEXES5	<col_d><!crowdoh><RFL>$defendingkeepername显示良好的反应并将其推开	<col_d><!crowdoh><RFL>$defendingkeepername显示良好的反应并将其推开
CMATCHTEXT_SAVE_REFLEXES6	<col_d><!crowdoh><RFL>但是$defendingkeepername可以保存反射	<col_d><!crowdoh><RFL>但是$defendingkeepername可以保存反射
CMATCHTEXT_SAVE_REFLEXES7	<col_d><!crowdoh><RFL>$defendingkeepername反应迅速，将其掌控	<col_d><!crowdoh><RFL>$defendingkeepername反应迅速，将其掌控
CMATCHTEXT_SECONDYELLOW1	<col_d>这是$playername的第二个黄牌|他已经离开!	<col_d>这是$playername的第二个黄牌|他已经离开!
CMATCHTEXT_SECONDYELLOW2	<col_d>这不太适合$playername |这是第二张黄牌!	<col_d>这不太适合$playername |这是第二张黄牌!
CMATCHTEXT_SECONDYELLOW3	<col_d>$playername在这里遇到麻烦|第二个黄牌，他下场了!	<col_d>$playername在这里遇到麻烦|第二个黄牌，他下场了!
CMATCHTEXT_SECONDYELLOW4	<col_d>$playername拿到另一张黄牌|他必须离开!	<col_d>$playername拿到另一张黄牌|他必须离开!
CMATCHTEXT_SECONDYELLOW5	<col_d>$playername前往隧道|是第二个黄牌!	<col_d>$playername前往隧道|是第二个黄牌!
CMATCHTEXT_SHOOT1	$attackingteamname有机会得分. . .	$attackingteamname有机会得分. . .
CMATCHTEXT_SHOOT10	$attackingteamname突破数字. . .	$attackingteamname突破数字. . .
CMATCHTEXT_SHOOT11	$attackingteamname . . .这是一个机会	$attackingteamname . . .这是一个机会
CMATCHTEXT_SHOOT12	$attackingteamname看起来有威胁. . .	$attackingteamname看起来有威胁. . .
CMATCHTEXT_SHOOT13	<!kickshort>这里有$attackingteamname . . .	<!kickshort>这里有$attackingteamname . . .
CMATCHTEXT_SHOOT14	$attackingteamname在这里看起来很危险. . .	$attackingteamname在这里看起来很危险. . .
CMATCHTEXT_SHOOT15	$attackingteamname . . .的机会打开了	$attackingteamname . . .的机会打开了
CMATCHTEXT_SHOOT2	$attackingteamname已达到目标. . .	$attackingteamname已达到目标. . .
CMATCHTEXT_SHOOT3	<!kicklong>$attackingteamname将球向前踢. . .	<!kicklong>$attackingteamname将球向前踢. . .
CMATCHTEXT_SHOOT4	$attackingteamname有很大的机会. . .	$attackingteamname有很大的机会. . .
CMATCHTEXT_SHOOT5	<!kicklong>$attackingteamname放入框中. . .	<!kicklong>$attackingteamname放入框中. . .
CMATCHTEXT_SHOOT6	$attackingteamname向前推送. . .	$attackingteamname向前推送. . .
CMATCHTEXT_SHOOT7	<!kicklong>$attackingteamname出现了一个十字架. . .	<!kicklong>$attackingteamname出现了一个十字架. . .
CMATCHTEXT_SHOOT8	<!kickshort>$attackingteamname的足球真不错. . .	<!kickshort>$attackingteamname的足球真不错. . .
CMATCHTEXT_SHOOT9	<!kickshort>$attackingteamname很好地移动了球. . .	<!kickshort>$attackingteamname很好地移动了球. . .
CMATCHTEXT_STRAIGHTRED1	<col_d>$playername因暴力不当行为而被遣送!	<col_d>$playername因暴力不当行为而被遣送!
CMATCHTEXT_STRAIGHTRED2	<col_d>这是$playername !的红牌	<col_d>这是$playername !的红牌
CMATCHTEXT_STRAIGHTRED3	<col_d>$playername处于关闭状态! |红牌顺子!	<col_d>$playername处于关闭状态! |红牌顺子!
CMATCHTEXT_STRAIGHTRED4	<col_d>红牌! | $playername被送出!	<col_d>红牌! | $playername被送出!
CMATCHTEXT_STRAIGHTRED5	<col_d>$playername正在抗议，但它是一张红牌!	<col_d>$playername正在抗议，但它是一张红牌!
CMATCHTEXT_SUBMADE1	用$teamname替补	用$teamname替补
CMATCHTEXT_SUBMADE2	这是$teamname的替补球员	这是$teamname的替补球员
CMATCHTEXT_SUBMADE3	$teamname带来了一个替补队员	$teamname带来了一个替补队员
CMATCHTEXT_SUBSMADE1	用$teamname代替	用$teamname代替
CMATCHTEXT_SUBSMADE2	$teamname带来了一些新鲜血液	$teamname带来了一些新鲜血液
CMATCHTEXT_SUBSMADE3	$teamname正在进行一些更改	$teamname正在进行一些更改
CMATCHTEXT_THEATTACKER	攻击者	攻击者
CMATCHTEXT_THEDEFENDER	防御者	防御者
CMATCHTEXT_THEFORWARD	前锋	前锋
CMATCHTEXT_THEKEEPER	守门员	守门员
CMATCHTEXT_THEMIDFIELDER	中场	中场
CMATCHTEXT_THESTRIKER	前锋	前锋
CMATCHTEXT_TRAITBOXTOBOX1	<+TRAIT>$playername进行了一次肺爆破训练|他接住了球. . .	<+TRAIT>$playername进行了一次肺爆破训练|他接住了球. . .
CMATCHTEXT_TRAITBOXTOBOX2	<+TRAIT>$playername支持进攻|皮球落在他身上. . .	<+TRAIT>$playername支持进攻|皮球落在他身上. . .
CMATCHTEXT_TRAITBOXTOBOX3	<+TRAIT>$playername在危险的位置接球	<+TRAIT>$playername在危险的位置接球
CMATCHTEXT_TRAITBOXTOBOX4	<+TRAIT>$playername的大力支持球|他控球	<+TRAIT>$playername的大力支持球|他控球
CMATCHTEXT_TRAITBOXTOBOX5	<+TRAIT>$playername在进攻三分球中获胜	<+TRAIT>$playername在进攻三分球中获胜
CMATCHTEXT_TRAITDIVE_2NDYELLOW1	$playername必须走路! |这是他的第二项可定罪!	$playername必须走路! |这是他的第二项可定罪!
CMATCHTEXT_TRAITDIVE_2NDYELLOW2	那是$playername !的第二张黄牌|他必须去!	那是$playername !的第二张黄牌|他必须去!
CMATCHTEXT_TRAITDIVE_2NDYELLOW3	这意味着他必须去! | $playername获得比赛的第二个黄牌!	这意味着他必须去! | $playername获得比赛的第二个黄牌!
CMATCHTEXT_TRAITDIVE_NOPEN1	裁判挥手将其甩开! |没有点球!	裁判挥手将其甩开! |没有点球!
CMATCHTEXT_TRAITDIVE_NOPEN2	但是裁判员说继续比赛!	但是裁判员说继续比赛!
CMATCHTEXT_TRAITDIVE_NOPEN3	但是裁判说没有处罚!	但是裁判说没有处罚!
CMATCHTEXT_TRAITDIVE_PEN1	<!whistledelayed>裁判员给了它! |点球!	<!whistledelayed>裁判员给了它! |点球!
CMATCHTEXT_TRAITDIVE_PEN2	<!whistledelayed>这是一个点球!!	<!whistledelayed>这是一个点球!!
CMATCHTEXT_TRAITDIVE_PEN3	<!whistledelayed>裁判指出地点! |点球!	<!whistledelayed>裁判指出地点! |点球!
CMATCHTEXT_TRAITDIVE_PEN4	<!whistledelayed>这是点球! |联系很少	<!whistledelayed>这是点球! |联系很少
CMATCHTEXT_TRAITDIVE_PEN5	<!whistledelayed>这是一个点球! |辩护人说这是一次跳水	<!whistledelayed>这是一个点球! |辩护人说这是一次跳水
CMATCHTEXT_TRAITDIVE_YELLOW1	<!whistledelayed>裁判员吹口哨|黄牌为$playername进行潜水!	<!whistledelayed>裁判员吹口哨|黄牌为$playername进行潜水!
CMATCHTEXT_TRAITDIVE_YELLOW2	$playername被正确预定潜水.	$playername被正确预定潜水.
CMATCHTEXT_TRAITDIVE_YELLOW3	<!whistledelayed>裁判员打电话给$playername，|他给了他一张黄牌进行潜水!	<!whistledelayed>裁判员打电话给$playername，|他给了他一张黄牌进行潜水!
CMATCHTEXT_TRAITDIVE_YELLOW4	裁判从$playername明显跳水，并预订了他.	裁判从$playername明显跳水，并预订了他.
CMATCHTEXT_TRAITDIVE_YELLOW5	<!whistledelayed>$playername在这里可能会遇到麻烦. . . |这是潜水的黄牌!	<!whistledelayed>$playername在这里可能会遇到麻烦. . . |这是潜水的黄牌!
CMATCHTEXT_TRAITDIVE1	<+TRAIT>$playername在罚球区落下!	<+TRAIT>$playername在罚球区落下!
CMATCHTEXT_TRAITDIVE2	<+TRAIT>$playername罚球线上	<+TRAIT>$playername罚球线上
CMATCHTEXT_TRAITDIVE3	<+TRAIT>$playername恰好位于网内!	<+TRAIT>$playername恰好位于网内!
CMATCHTEXT_TRAITDIVE4	<+TRAIT>似乎$playername被绊倒在盒子里!	<+TRAIT>似乎$playername被绊倒在盒子里!
CMATCHTEXT_TRAITDIVE5	<+TRAIT>看起来像是推动盒子中的$playername !	<+TRAIT>看起来像是推动盒子中的$playername !
CMATCHTEXT_TRAITFOXINTHEBOX1	<+TRAIT>$playername有机会进入盒子	<+TRAIT>$playername有机会进入盒子
CMATCHTEXT_TRAITFOXINTHEBOX2	<+TRAIT>球掉到箱子内的$playername	<+TRAIT>球掉到箱子内的$playername
CMATCHTEXT_TRAITFOXINTHEBOX3	<+TRAIT>$playername闯入该区域|球落在他身上. . .	<+TRAIT>$playername闯入该区域|球落在他身上. . .
CMATCHTEXT_TRAITFOXINTHEBOX4	<+TRAIT>$playername在区域. . .接球	<+TRAIT>$playername在区域. . .接球
CMATCHTEXT_TRAITFOXINTHEBOX5	<+TRAIT>球被鞭打入盒子|落到$playername	<+TRAIT>球被鞭打入盒子|落到$playername
CMATCHTEXT_TRAITPLAYMAKER1	<+TRAIT>$playername传球. . .	<+TRAIT>$playername传球. . .
CMATCHTEXT_TRAITPLAYMAKER10	<+TRAIT>$playername将脚踩在球上|现在他将球向前踢. . .	<+TRAIT>$playername将脚踩在球上|现在他将球向前踢. . .
CMATCHTEXT_TRAITPLAYMAKER2	<+TRAIT>来自$playername . . .的敏锐传球	<+TRAIT>来自$playername . . .的敏锐传球
CMATCHTEXT_TRAITPLAYMAKER3	<+TRAIT>$playername发起攻击. . .	<+TRAIT>$playername发起攻击. . .
CMATCHTEXT_TRAITPLAYMAKER4	<+TRAIT>$playername向前送球. . .	<+TRAIT>$playername向前送球. . .
CMATCHTEXT_TRAITPLAYMAKER5	<+TRAIT>这是来自$playername . . .的灵巧轻弹	<+TRAIT>这是来自$playername . . .的灵巧轻弹
CMATCHTEXT_TRAITPLAYMAKER6	<+TRAIT>$playername提供了前向通过. . .	<+TRAIT>$playername提供了前向通过. . .
CMATCHTEXT_TRAITPLAYMAKER7	<+TRAIT>$playername找到队友. . .	<+TRAIT>$playername找到队友. . .
CMATCHTEXT_TRAITPLAYMAKER8	<+TRAIT>$playername抬起头|他通过了. . .	<+TRAIT>$playername抬起头|他通过了. . .
